Name,Cuisines,Area,Full_Address,AverageCost,Total Reviews,Total Ratings,Cost Category,Features,Testing Features,bag_of_words
Shimla Biryani,"biryani, mughlai, fast food, north indian, kebab, chinese",Topsia,"11/1, Topsia, Kolkata",750,32589,4.1,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,biryani mughlai fast food north indian kebab chinese homedelivery takeaway indoorseating expensive
NIC - Natural Ice Creams,"ice cream, desserts",Bhawanipur,"Shop 23/4 A, Ray Street, Near Leap Years Preschool, Bhawanipur, Kolkata",100,3128,4.5,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,ice cream desserts homedelivery takeaway cheapeats
The Biryani Inc.,"biryani, mughlai, afghan",Kasba,"15A, Swinhoe Lane, New Ballygunge, Kasba, Kolkata",200,8899,4.1,midrange,homedelivery   ,homedelivery midrange,biryani mughlai afghan homedelivery midrange
Al Baik Fast Food Corner,"biryani, rolls, north indian, chinese, kebab, fast food, street food, roast chicken",Bara Bazar,"54, Phears Lane, Bara Bazar, Kolkata",100,79600,3.9,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,biryani rolls north indian chinese kebab fast food street food roast chicken homedelivery takeaway cheapeats
Crazy 4 Cakes,"bakery, desserts",Park Street Area,"7/1, Russel Street, Park Street Area, Kolkata",200,1017,4.2,midrange,homedelivery takeaway vegonly ,homedelivery takeaway vegonly midrange,bakery desserts homedelivery takeaway vegonly midrange
Koshe Kosha,"bengali, desserts",Park Street Area,"1/1C, Ripon Street, Muzzafar Ahmed Street, Near Free School Street, Park Street Area, Kolkata",800,3209,4.1,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,bengali desserts homedelivery takeaway indoorseating expensive
Behrouz Biryani,"biryani, mughlai, lucknowi, hyderabadi, kebab, north indian, desserts",Ballygunge,"29, 1st Lane, Ballygunge, Kolkata",400,3454,4.2,midrange,homedelivery   ,homedelivery midrange,biryani mughlai lucknowi hyderabadi kebab north indian desserts homedelivery midrange
Kareem's,"north indian, mughlai, biryani, kebab, beverages",Park Street Area,"55 B, Mirza Ghalib Street, Park Street Area, Kolkata",1000,10877,4.2,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,north indian mughlai biryani kebab beverages homedelivery takeaway indoorseating expensive
6 Ballygunge Place,"bengali, fast food",Ballygunge,"6, Ballygunge Place, Ballygunge, Kolkata",600,7074,4.3,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,bengali fast food homedelivery takeaway indoorseating expensive
Royal Indian Restaurant,biryani,Park Circus Area,"24A, Syed Amir Ali Avenue, Park Circus Area, Kolkata",700,19984,4.1,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,biryani homedelivery takeaway indoorseating expensive
Azad Hind Dhaba,"north indian, chinese, mughlai, rolls, biryani",Bhawanipur,"17, Ground Floor, Harish Mukherjee Road, Bhawanipur, Kolkata",700,2303,3.8,expensive,homedelivery   indoorseating,homedelivery indoorseating expensive,north indian chinese mughlai rolls biryani homedelivery indoorseating expensive
Bhojohori Manna,"bengali, desserts, seafood, north indian, fast food",Esplanade,"11A, Sido Kanhu Dahar, Esplanade, Kolkata",700,986,3.9,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,bengali desserts seafood north indian fast food homedelivery takeaway indoorseating expensive
Bhikharam Chandmal,"north indian, south indian, chinese",Chowringhee,"1, A.J.C. Bose Road, Chowringhee, Kolkata",300,496,3.3,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,north indian south indian chinese homedelivery takeaway indoorseating midrange
Jai Hind Dhaba,"north indian, chinese, rolls",Paddapukur,"41/1A, Sarat Bose Road, Paddapukur, Kolkata",450,18895,4.0,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,north indian chinese rolls homedelivery takeaway indoorseating expensive
6 Ballygunge Place Thali,"bengali, bangladeshi, desserts, beverages",Kasba,"37/1, Rajdanga Main Road, Kasba, Kolkata",800,5722,4.1,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,bengali bangladeshi desserts beverages homedelivery takeaway indoorseating expensive
Hatari,"chinese, fast food, asian",Esplanade,"Eden Garden Road, Netji Indoor Stadium, Eden Gardens, Esplanade, Kolkata",300,541,4.3,midrange,homedelivery   ,homedelivery midrange,chinese fast food asian homedelivery midrange
India Restaurant,"biryani, mughlai, north indian, kebab, chinese",Kidderpore,"34, Karl Marx Sarani, Kidderpore, Kolkata",800,30571,4.2,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,biryani mughlai north indian kebab chinese homedelivery takeaway indoorseating expensive
Lazeez Biryani,"biryani, mughlai",Entally,"1/A, Convent Road, Entally, Kolkata",300,64093,3.7,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,biryani mughlai homedelivery takeaway indoorseating midrange
Denzong Kitchen,"momos, chinese, tibetan, seafood",Hazra,"31A, Shyama Prasad Mukherjee Road, Hazra, Kolkata",500,12410,3.9,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,momos chinese tibetan seafood homedelivery takeaway indoorseating expensive
Baskin Robbins,"ice cream, desserts, beverages",Bhawanipur,"2, Ashutosh Mukherjee Road, Bhawanipur, Kolkata",300,918,4.3,midrange,homedelivery takeaway vegonly indoorseating,homedelivery takeaway vegonly indoorseating midrange,ice cream desserts beverages homedelivery takeaway vegonly indoorseating midrange
Adil Biryani Centre,"biryani, kebab",Ballygunge,"38, Shamsul Huda Road, Ballygunge, Kolkata",100,28800,4.1,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,biryani kebab homedelivery takeaway cheapeats
New Paul Dhaba Veggie Hub,"north indian, chinese, biryani, kebab, rolls",Maniktala,"167A, Vivekanand Road, Maniktala, Kolkata",300,24644,4.0,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,north indian chinese biryani kebab rolls homedelivery takeaway indoorseating midrange
Bhikharam Chandmal Rajuji,"north indian, south indian, chinese",Bara Bazar,"P 11, Lower Ground Floor, C I T Scheme L, Bara Bazar, Kolkata",100,152,4.3,cheapeats,homedelivery   ,homedelivery cheapeats,north indian south indian chinese homedelivery cheapeats
Keventers - Milkshakes & Desserts,"beverages, desserts, ice cream, shake",New Market Area,"1, Humayan Place, Ground Floor, New Empire Cinema Building, New Market Area, Kolkata",400,269,4.200000000000001,midrange,homedelivery takeaway  ,homedelivery takeaway midrange,beverages desserts ice cream shake homedelivery takeaway midrange
Ebowl,"north indian, chinese, biryani, fast food, beverages",Esplanade,"3A, 1st Floor, Jawaharlal Nehru Road, Esplanade, Kolkata",200,2059,4.0,midrange,homedelivery   ,homedelivery midrange,north indian chinese biryani fast food beverages homedelivery midrange
I Love Haldiram,"chinese, fast food, street food, north indian, shake, mishti",Park Street Area,"12, Russel Street, Near Bombay Dying, Park Street Area, Kolkata",400,2999,3.8,midrange,homedelivery takeaway vegonly indoorseating,homedelivery takeaway vegonly indoorseating midrange,chinese fast food street food north indian shake mishti homedelivery takeaway vegonly indoorseating midrange
Mezban,"biryani, mughlai, chinese, north indian",Wellesley,"Ground Floor, B/6A/H/4, Muzaffar Ahmed Street, Ward 61, Wellesley, Kolkata",600,58956,3.8,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,biryani mughlai chinese north indian homedelivery takeaway indoorseating expensive
Tewari Confectioners,"mishti, street food, shake",Minto Park,"233/5, A.J.C. Bose Road, Kandhari House, Minto Park, Kolkata",200,690,4.2,midrange,homedelivery takeaway vegonly indoorseating,homedelivery takeaway vegonly indoorseating midrange,mishti street food shake homedelivery takeaway vegonly indoorseating midrange
Barbeque Nation,"bbq, chinese, kebab, north indian, desserts",Wellesley,"24, 1st Floor, Park Center Building, Wellesley, Kolkata",1800,7126,3.9,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,bbq chinese kebab north indian desserts homedelivery takeaway indoorseating expensive
Taj Biryani,biryani,Park Circus Area,"3A, Rammohan Bera Lane, Park Circus Area, Kolkata",300,2037,3.7,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,biryani homedelivery takeaway indoorseating midrange
Hindusthan Sweets,"mishti, street food, desserts",Ballygunge,"1B, Leela Roy Sarani, Ballygunge, Kolkata",200,608,4.2,midrange,homedelivery takeaway vegonly indoorseating,homedelivery takeaway vegonly indoorseating midrange,mishti street food desserts homedelivery takeaway vegonly indoorseating midrange
Dhaba Junction,"north indian, bengali",Ballygunge,"51, Near Deys Medical Bus Stand, Bondel Road, Ballygunge, Kolkata",400,15788,3.9,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,north indian bengali homedelivery takeaway indoorseating midrange
Starbucks Coffee,"cafe, beverages, fast food, desserts",Park Street Area,"57 A, Ground Floor, Park Mansions, Park Street Area, Kolkata",600,3677,4.2,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,cafe beverages fast food desserts homedelivery takeaway indoorseating expensive
ATS  Arun Dhaba,north indian,Theatre Road,"27, Shakespeare Sarani, Outram Street, Theatre Road, Kolkata",350,13652,4.0,midrange,homedelivery takeaway vegonly indoorseating,homedelivery takeaway vegonly indoorseating midrange,north indian homedelivery takeaway vegonly indoorseating midrange
Sher-e-Punjab,"north indian, chinese, rolls",Theatre Road,"7/1A, A.J.C. Bose Road, Near Kala Mandir, Theatre Road, Kolkata",500,3497,3.9,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,north indian chinese rolls homedelivery takeaway indoorseating expensive
Shiraz Golden Restaurant,"biryani, north indian, kebab, chinese, mughlai, arabian, rolls",Park Street Area,"135, Park Street, Ground And Mezanine Floor, Ward 61, Park Street Area, Kolkata",800,12142,4.1,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,biryani north indian kebab chinese mughlai arabian rolls homedelivery takeaway indoorseating expensive
Biryani By Kilo,"biryani, mughlai, kebab, hyderabadi",Golpark,"23, 13, Ground Floor, Kankulia, Gariahat Road, Near Kotak Mahindra Bank, Golpark, Kolkata",1000,4495,4.099999999999999,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,biryani mughlai kebab hyderabadi homedelivery takeaway indoorseating expensive
Adil Biryani Restaurant,"biryani, north indian",Park Circus Area,"18 A, Syed Amir Ali Avenue, Opposite Park Circus Tram Depot, Park Circus Area, Kolkata",400,5696,4.0,midrange,homedelivery takeaway  ,homedelivery takeaway midrange,biryani north indian homedelivery takeaway midrange
Dariole,"bakery, desserts, beverages, fast food",Theatre Road,"42 A, Shakespeare Sarani, Theatre Road, Kolkata",300,2220,4.3,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,bakery desserts beverages fast food homedelivery takeaway indoorseating midrange
The Belgian Waffle Co.,"desserts, beverages, waffle",Elgin,"7B, DR Sishir Kumar Bose Sarani, Elgin, Kolkata",300,2893,4.2,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,desserts beverages waffle homedelivery takeaway indoorseating midrange
Kathleen,"bakery, desserts, fast food",New Market Area,"12, Free School Street, New Market Area, Kolkata",50,365,4.2,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,bakery desserts fast food homedelivery takeaway cheapeats
Machhli Baba Fries,"bengali, north indian, kebab",Chandni Chowk,"71, First Floor, Bentinck Street, Faraday House, Chandni Chowk, Kolkata",150,1314,4.2,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,bengali north indian kebab homedelivery takeaway cheapeats
Rayyan Biryani,"biryani, rolls, mughlai, beverages",Taltala,"6A, Muzaffar Ahmed Street, Taltala, Kolkata",300,45307,3.6,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,biryani rolls mughlai beverages homedelivery takeaway indoorseating midrange
New Arsalan Biryani,biryani,Picnic Garden,"194/2E, Picnic Garden, Kolkata",100,998,3.9,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,biryani homedelivery takeaway cheapeats
Natural Ice Cream,"ice cream, desserts",Park Street Area,"77/1/A, Ground Floor, Near West Bengal Board, Park Street Area, Kolkata",300,12051,4.5,midrange,homedelivery takeaway vegonly indoorseating,homedelivery takeaway vegonly indoorseating midrange,ice cream desserts homedelivery takeaway vegonly indoorseating midrange
Saptapadi,"bengali, beverages, desserts",Hindustan Park,"49 B, Purna Das Road, Hindustan Park, Kolkata",850,2468,4.1,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,bengali beverages desserts homedelivery takeaway indoorseating expensive
Gangotri Sweets & Snacks,"mishti, fast food",Ballygunge,"P17A, Ashutosh Choudhury Avenue, Near Birla Mandir, Ballygunge, Kolkata",200,12535,4.2,midrange,homedelivery takeaway vegonly ,homedelivery takeaway vegonly midrange,mishti fast food homedelivery takeaway vegonly midrange
Santa Delivers,"north indian, biryani, rolls, wraps, mughlai",Kasba,"15 Swinhoe Lane, Kasba, Kolkata",200,13900,4.1,midrange,homedelivery takeaway  ,homedelivery takeaway midrange,north indian biryani rolls wraps mughlai homedelivery takeaway midrange
The Yellow Straw,"healthy food, salad, juices",Minto Park,"7/1, Central Plaza, Sarat Bose Road, Opposite HDFC Bank, Minto Park, Kolkata",250,4043,4.2,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,healthy food salad juices homedelivery takeaway indoorseating midrange
Flurys,"bakery, desserts, fast food, coffee",Park Street Area,"18, Park Street Area, Kolkata",300,9952,4.4,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,bakery desserts fast food coffee homedelivery takeaway indoorseating midrange
Sharma Snacks,"mishti, street food, south indian, north indian",Kasba,"39/1, Bose Pukur Road, Kasba, Kolkata",300,13889,3.9,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,mishti street food south indian north indian homedelivery takeaway indoorseating midrange
Taj Biryani,biryani,Entally,"87, Near Entally Market, Acharya Jagadish Chandra Bose Road, Entally, Kolkata",350,14318,3.9,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,biryani homedelivery takeaway indoorseating midrange
Sharma Jalpan,"street food, mithai, fast food, beverages",Bhawanipur,"22, Justice Dwarkanath Road, Bhawanipur, Kolkata",150,1981,3.9,cheapeats,homedelivery takeaway vegonly indoorseating,homedelivery takeaway vegonly indoorseating cheapeats,street food mithai fast food beverages homedelivery takeaway vegonly indoorseating cheapeats
Arman Biryani,biryani,Picnic Garden,"103/1, Picnic Garden, Kolkata",300,16863,3.9,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,biryani homedelivery takeaway indoorseating midrange
Kaligodam,"mishti, desserts, street food, bengali, north indian",Bara Bazar,"16, Mallick Street, Jorasanko, Bara Bazar, Kolkata",50,3697,4.1,cheapeats,homedelivery   ,homedelivery cheapeats,mishti desserts street food bengali north indian homedelivery cheapeats
Roll It Out,"rolls, chinese, italian, fast food",Park Street Area,"2, Middle Row, Park Street Area, Kolkata",350,4419,3.6000000000000005,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,rolls chinese italian fast food homedelivery takeaway indoorseating midrange
Banchharam's,"mishti, desserts",Golpark,"19, Gariahat Road, Golpark, Kolkata",50,592,4.1,cheapeats,homedelivery takeaway vegonly ,homedelivery takeaway vegonly cheapeats,mishti desserts homedelivery takeaway vegonly cheapeats
Chaccha Jaan Biryani Aur Kebab Waale,"kebab, mughlai",Park Circus Area,"217, Ground Floor, Park Street, Park Circus Area, Kolkata",200,55,3.8,midrange,homedelivery   ,homedelivery midrange,kebab mughlai homedelivery midrange
Momo I Am,"chinese, momos, tibetan, asian, beverages",Golpark,"43, Ballygunge Gardens, Golpark, Kolkata",600,7194,4.2,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,chinese momos tibetan asian beverages homedelivery takeaway indoorseating expensive
BarBQ,"chinese, north indian, asian",Park Street Area,"43-47-55, Park Street Area, Kolkata",1200,26326,4.2,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,chinese north indian asian homedelivery takeaway indoorseating expensive
Kreamz,"bakery, desserts, fast food",Kidderpore,"1/2, Ram Kamal Street, Kidderpore, Kolkata",100,23,3.7,cheapeats,homedelivery   ,homedelivery cheapeats,bakery desserts fast food homedelivery cheapeats
Kela Patta,south indian,Picnic Garden,"143/105A, Picnic Garden, Kolkata",100,3771,4.0,cheapeats,homedelivery   ,homedelivery cheapeats,south indian homedelivery cheapeats
Ek Din Prati Din,"bengali, chinese, north indian, rolls",New Alipore,"19/6, Plot 112, Sahapur Colony, New Alipore, Kolkata",300,3646,3.6,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,bengali chinese north indian rolls homedelivery takeaway indoorseating midrange
Tea Junction,"tea, beverages",Park Street Area,"71, Park Plaza, Park Street, Park Street Area, Kolkata",300,361,4.4,midrange,homedelivery takeaway  ,homedelivery takeaway midrange,tea beverages homedelivery takeaway midrange
The French Loaf,"bakery, desserts, fast food, pizza",Elgin,"Ground Floor, Vasundhara Building, 2/7, Elgin, Kolkata",400,1744,4.1,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,bakery desserts fast food pizza homedelivery takeaway indoorseating midrange
UBQ By Barbeque Nation,"north indian, biryani, kebab, bbq",Park Street Area,"1st Floor, Park Center, Building 24, Park Street Area, Kolkata",300,3965,3.8,midrange,homedelivery   ,homedelivery midrange,north indian biryani kebab bbq homedelivery midrange
LunchBox - Meals and Thalis,"north indian, healthy food, shake, desserts",Ballygunge,"29, 1st Lane, Near Repose Nursing Home, Ballygunge, Kolkata",200,559,4.1,midrange,homedelivery   ,homedelivery midrange,north indian healthy food shake desserts homedelivery midrange
Kochi Kalapata,"bengali, north indian, chinese",Taltala,"8, Puran Chand Avenue, Taltala, Kolkata",450,805,4.2,expensive,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating expensive,bengali north indian chinese homedelivery takeaway indoorseating expensive
Banana Leaf,"south indian, beverages",Southern Avenue,"P 264C, Hemanta Mukhopadhyay Sarani, Near Vivekananda Park, Southern Avenue, Kolkata",400,2979,4.0,midrange,homedelivery takeaway vegonly indoorseating,homedelivery takeaway vegonly indoorseating midrange,south indian beverages homedelivery takeaway vegonly indoorseating midrange
Ganguram,mithai,Bhawanipur,"84/A, Sambhunath Pandit Street, Bhawanipur, Kolkata",200,139,3.6,midrange,homedelivery takeaway vegonly ,homedelivery takeaway vegonly midrange,mithai homedelivery takeaway vegonly midrange
Abhinandan,"north indian, street food",Bara Bazar,"23, Burtolla Street, Near Satyanarayan Park, AC Market, Bara Bazar, Kolkata",50,6576,3.6000000000000005,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,north indian street food homedelivery takeaway cheapeats
Sharma Sweets,"mishti, street food",Desapriya Park,"177, Sarat Bose Road, Desapriya Park, Kolkata",100,981,4.2,cheapeats,homedelivery takeaway vegonly ,homedelivery takeaway vegonly cheapeats,mishti street food homedelivery takeaway vegonly cheapeats
Noodle King,"chinese, momos, seafood",Picnic Garden,"44/7A, C.N. Roy Road, Picnic Garden, Kolkata",150,2011,3.8,cheapeats,homedelivery takeaway  ,homedelivery takeaway cheapeats,chinese momos seafood homedelivery takeaway cheapeats
Thakur Mahal,north indian,Bara Bazar,"7, Babulal Lane, Bara Bazar, Kolkata",300,5497,3.9,midrange,homedelivery takeaway  indoorseating,homedelivery takeaway indoorseating midrange,north indian homedelivery takeaway indoorseating midrange
Chai Break,"cafe, fast food, chinese, italian, pizza, tea, beverages",Elgin,"1, Ground Floor, Allenby Road, Elgin, Kolkata",800,671,3.7999999999999994,expensive,homedelivery takeaway vegonly indoorseating,homedelivery takeaway vegonly indoorseating expensive,cafe fast food chinese italian pizza tea beverages homedelivery takeaway vegonly indoorseating expensive
